,Isocortex,Hippocampal formation,Hypothalamus,Striatum,Thalamus,Midbrain,Pons,Medulla,Olfactory areas,Cortical subplate,Pallidum
Isocortex,0.0,2.249434309374301,5.322434479797127,6.148146405965602,6.335682331446922,4.766080344269638,4.470372684230526,4.303656342388508,3.2736553363432366,4.288673405565398,6.246806744642597
Hippocampal formation,2.249434309374301,0.0,4.490577141587942,5.322090149471166,5.8715953715807885,3.952716881749053,3.6940799408274168,3.6834059333575704,2.5910652956951696,3.60591804044868,5.399388346410064
Hypothalamus,5.322434479797127,4.490577141587942,0.0,2.2390023576250995,3.8425738513957293,1.590423714245368,1.5635277411985589,2.49295551314672,3.720778272913468,2.3822091640705527,2.1924074904755857
Striatum,6.148146405965602,5.322090149471166,2.2390023576250995,0.0,4.560146443041486,3.0798723129707755,3.1392419491242323,3.988785276642014,4.356617872602749,2.3979725120872404,0.8500537967421278
Thalamus,6.335682331446922,5.8715953715807885,3.8425738513957293,4.560146443041486,0.0,3.2428008576871594,3.660067613179246,3.7213346632725774,5.425966399907653,4.389617217008659,4.201018460822634
Midbrain,4.766080344269638,3.952716881749053,1.590423714245368,3.0798723129707755,3.2428008576871594,0.0,0.9408042001046304,1.6663745367688192,3.82900864319636,2.3801448856645746,3.0383600249286564
Pons,4.470372684230526,3.6940799408274168,1.5635277411985589,3.1392419491242323,3.660067613179246,0.9408042001046304,0.0,1.5013415589465504,3.4411868200619256,2.174658886890178,3.1712364821073704
Medulla,4.303656342388508,3.6834059333575704,2.49295551314672,3.988785276642014,3.7213346632725774,1.6663745367688192,1.5013415589465504,0.0,3.5403221366050666,3.2082309085400884,4.058222356526127
Olfactory areas,3.2736553363432366,2.5910652956951696,3.720778272913468,4.356617872602749,5.425966399907653,3.82900864319636,3.4411868200619256,3.5403221366050666,0.0,3.237106899302943,4.4183877173664
Cortical subplate,4.288673405565398,3.60591804044868,2.3822091640705527,2.3979725120872404,4.389617217008659,2.3801448856645746,2.174658886890178,3.2082309085400884,3.237106899302943,0.0,2.412553270285577
Pallidum,6.246806744642597,5.399388346410064,2.1924074904755857,0.8500537967421278,4.201018460822634,3.0383600249286564,3.1712364821073704,4.058222356526127,4.4183877173664,2.412553270285577,0.0
