,Gabra1,Gabra2,Gabra3,Gabrb1,Gabrb2,Gabrg2,Htr1a,Htr2a,Htr2c,Htr7,Drd1,Drd2,Drd3,Drd4,Oprk1,Oprm1,Oprd1,Grin1,Grin2a,Grin2b,Gria1,Gria2,Adra2a,Adra2c,Chrna4,Chrnb2
Isocortex,0.06921685700062742,0.06872999368382163,0.055933525694137905,0.0796137242434788,0.0650966131229231,0.06403725409089323,0.010279464593422844,0.03269790025992694,0.013808487243718224,0.015176712027291277,0.01053362660150469,0.0015458015508090475,8.22660142052998e-05,0.0004820241394995955,0.004332326083123601,0.03555701245183441,0.01745238775528238,0.0699917565666584,0.0697283370019908,0.07661385511166507,0.07161393295929999,0.08472242268572658,0.012251534545203597,0.0219989000339584,0.02369050810099321,0.02481277643800362
Hippocampal formation,0.061568970900296865,0.07976422308184855,0.042019013499425835,0.09175415804541438,0.05937485116763948,0.056721666287419766,0.017771245323356496,0.01617642389573003,0.021499330585116234,0.01580996555026962,0.006471892512607755,0.0019771552248757747,0.0002619449545168306,0.00021894893925522964,0.0015286737118393827,0.022592090849918773,0.011498457435267844,0.06558215281709892,0.06880354657592964,0.08541720687301227,0.08129554270231941,0.0994292775081891,0.01682334855612766,0.026752120695768135,0.021618396473532975,0.027269395833223086
Hypothalamus,0.059602102499363756,0.06664487062220778,0.05827607147086763,0.08079592098996878,0.05694878055540857,0.061171921655189095,0.009019530767699522,0.018534827055316595,0.03871821620164239,0.032898168376333276,0.005808708842642638,0.010500527892637472,0.004454330357480327,8.945197436885963e-05,0.020440406086765894,0.038925467607046293,0.006878982817661599,0.06461015317705696,0.050508238400850676,0.07039933377177399,0.07770730810031724,0.08379697173569586,0.020838530367055467,0.013566462816956063,0.014168058841760716,0.03469665701593253
Striatum,0.056008698765639874,0.07113946899909745,0.043042719981256077,0.07839614033524568,0.058499198928164235,0.05694688505980402,0.007749689388726916,0.017090302493305155,0.047826711084491214,0.018483226991253387,0.02353781702562275,0.019550772774447542,0.011132506026601196,9.569962198649316e-05,0.018044658723598044,0.03314968905872822,0.012066072339014262,0.06440848558648195,0.057768581814101834,0.07440777608928445,0.07474536475580922,0.08416484754885219,0.013077518343802542,0.026053727087778006,0.008341047052864143,0.024272394124043212
Thalamus,0.06269882504431759,0.060158007114980636,0.04767226900909827,0.0781629472107101,0.060473020207442586,0.05999316464741836,0.00197293131333705,0.005777253810795369,0.03920575274320305,0.04221865878644874,0.006412458293129608,0.015043817026587103,0.004984974307014349,0.0009847395575317472,0.014944566326222378,0.034154323619422756,0.0015310499343219276,0.0673368534248396,0.06056622956082859,0.07270070649237668,0.07043433832578741,0.08486107491097643,0.008266288766028989,0.006999331999634067,0.04560612834237521,0.046840289225171354
Midbrain,0.06226697139350329,0.06182432502475847,0.05602569214895309,0.08186746317672888,0.058063731401768785,0.059710956413327354,0.010085495366553348,0.013299432818306277,0.04949588072805479,0.0248082384056714,0.005315557447620179,0.015730359597478608,0.0017640200721641432,0.00016620835547717002,0.014017480557768977,0.037053405750878204,0.0041662664074599565,0.06376699316299683,0.054241975868343624,0.0708835442670557,0.07773471487837763,0.08788655536811521,0.019776029921650555,0.01203438336009023,0.027301018190312366,0.030713299916584825
Pons,0.05602338028925942,0.07017541614790797,0.0512352321714418,0.0957578440793691,0.05246745735515596,0.05332860745758548,0.008469468838010372,0.017274184818422727,0.04511377289949112,0.022287537123502742,0.004543750391868081,0.011288359886527799,0.001610977680473645,0.0001689031404468,0.015055411746189762,0.030669995252798093,0.006971093251167926,0.06104952828679753,0.04843169595387409,0.07033664187287991,0.07307236092041974,0.1062119248176294,0.029897135428329405,0.012771380642420536,0.025348266759478086,0.03043967278855246
Medulla,0.061533525170794065,0.05743293561529695,0.05654438943515187,0.07582686286174851,0.057048239376383564,0.066540533961784,0.007413913577819709,0.012252404989816614,0.046142271222763806,0.026429993369947564,0.001864755441281481,0.013559691323823165,0.000878333005660652,0.0003004375494168703,0.012339216972934237,0.03733085493632511,0.007862442157260759,0.07755374044749024,0.057349528023674136,0.0711424201648917,0.06206461024398423,0.10597445174402721,0.021130206910404077,0.01530103757341783,0.019200768030721228,0.02898243589318041
Olfactory areas,0.04244920027997896,0.0898823472729487,0.04419170796534792,0.07244254877214772,0.045627737724488394,0.06733413722448772,0.004381697512978471,0.0188102500137179,0.021029203732874376,0.012360830247363822,0.005550060961002357,0.0013664365182501582,0.0008525172009063182,0.0001579231235587842,0.0026686331218323364,0.04555948281515366,0.01782389965725329,0.08423994143461112,0.0736109122201716,0.09799665149444793,0.09183497301254417,0.10576834283771794,0.013134385886490747,0.013932031493618166,0.007548189973487653,0.019445957502619782
Cortical subplate,0.05293421496446724,0.0770671226025565,0.054010084092257236,0.08981181013526873,0.05424125056701211,0.04879502657687521,0.011101806297032928,0.024563255289205256,0.03258720355443898,0.01036905218837596,0.023679297951777804,0.008215860055596266,0.0027638205566605026,0.00018900403596310643,0.01144201356176652,0.036469055677681245,0.010206217942007746,0.057265315142421815,0.051888877257871294,0.08058986705746886,0.0690896984077137,0.09560696465333754,0.022942182211521688,0.0245225467276132,0.024257941077264852,0.025390511415843777
Pallidum,0.05620080076702453,0.06914948336947621,0.0509665990445113,0.07849553734923895,0.05749906385150011,0.056621553224671536,0.008516893879852027,0.0165369089405268,0.0441584333606291,0.018863906640276196,0.0219573116284046,0.01330256731010588,0.01647929980207146,0.00012447688844813328,0.018815556113358327,0.036960377257558116,0.007827641687618563,0.06347292576239524,0.05403325693264258,0.07282412341523434,0.0784070661723254,0.0891151647827107,0.01156709201413893,0.02368558578206463,0.010738960648843497,0.02367941337437299
