,Gabra1,Gabra2,Gabra3,Gabrb1,Gabrb2,Gabrg2,Htr1a,Htr2a,Htr2c,Htr7,Drd1,Drd2,Drd3,Drd4,Oprk1,Oprm1,Oprd1,Grin1,Grin2a,Grin2b,Gria1,Gria2,Adra2a,Adra2c,Chrna4,Chrnb2
Isocortex,0.7207228720339485,0.7156533912285276,0.5824097341041982,0.8289806049638849,0.6778206928582539,0.6667900809933904,0.10703527385931205,0.34046799589008386,0.14378134194458625,0.15802802892714976,0.10968174439213332,0.01609571109655455,0.0008565976641830447,0.005019092707527763,0.04511049233553215,0.3702385985974582,0.1817235796581058,0.7287915400574424,0.7260486749025648,0.7977443658438802,0.7456825067859623,0.8821751008309655,0.127569519144191,0.22906429302212475,0.24667821941606766,0.25836387655354176
Hippocampal formation,0.5123945104127099,0.6638205809978366,0.3496941971781363,0.7636042344469951,0.49413442112158895,0.47205386093265733,0.14789736475588072,0.13462480663682955,0.17892355204703472,0.13157503592013345,0.05386093265731917,0.016454448866795483,0.0021799805122954203,0.0018221554282065256,0.012722057989683627,0.18801781418418634,0.0956934374879578,0.545793353261438,0.5726027095616367,0.7108663220535857,0.6765646589926949,0.8274787644575097,0.140008697902044,0.22263876732011031,0.17991445227989628,0.2269436783317644
Hypothalamus,0.580927002683138,0.64957112771614,0.5680025050807704,0.787497927782451,0.5550657276707047,0.5962276430751094,0.08791114331149574,0.18065439095223768,0.3773769102775851,0.3206503386156973,0.05661605339260387,0.10234605726074329,0.043415260117026566,0.0008718663465730127,0.1992276000957825,0.37939693864394086,0.0670477500322345,0.6297392382835285,0.4922913507174478,0.68616495465681,0.7573939792102856,0.8167484297195906,0.20310801932841732,0.13222896929434086,0.13809257747023682,0.33817976410489414
Striatum,0.5951740559040842,0.7559605424190036,0.45739163367430313,0.8330732518138494,0.6216392499833431,0.605143652666683,0.08235174476710139,0.18160937275350936,0.5082285117141885,0.19641122570283379,0.25012361177836145,0.2077554555751542,0.11829910192974642,0.0010169479638247063,0.1917507986548233,0.352263761234645,0.12821960465271226,0.6844340333909604,0.6138753782871089,0.7906910687421757,0.7942784403524952,0.8943741737297793,0.13896769261520442,0.27685882307560133,0.08863578184011474,0.25792956407999523
Thalamus,0.5551751543681605,0.5326771412850767,0.4221204988689858,0.6921042978541297,0.5354664669560433,0.5312175215504066,0.017469584887204254,0.051155468606712724,0.34715259521917224,0.3738307758146359,0.05677997187748365,0.13320749526196735,0.04414012349452834,0.008719508467322858,0.1323286666259094,0.302424038637892,0.013556886959711438,0.5962431986305557,0.5362918016751238,0.6437381549183836,0.6236702940637037,0.7514137678058324,0.07319496240141836,0.06197652381243504,0.40382557926270096,0.41475362230237817
Midbrain,0.5331743458037944,0.5293840909897861,0.47973204880877707,0.7010077757920774,0.49718319860816873,0.5112879173422651,0.08635922502455824,0.11387925626975015,0.4238191329459245,0.21242588143396493,0.045515604843004744,0.1346945900843857,0.015104801581196075,0.001423194820872735,0.12002769460191968,0.3172777626548945,0.0356745529215438,0.5460186050915461,0.46445859420307006,0.6069556057898288,0.6656202288947013,0.7525475483176121,0.1693365130839241,0.1030469979761637,0.23377084492206454,0.2629892417123312
Pons,0.3047660812607458,0.38175287656357676,0.27871865015557457,0.5209207787778172,0.2854219307954142,0.2901065703287601,0.04607374304786964,0.09397122392298536,0.24541803272982926,0.12124376135485622,0.024717912307446,0.06140845462582051,0.008763686734743597,0.0009188297450247458,0.08190114227243302,0.16684416786741008,0.03792260947647587,0.33210822700663367,0.26346746855444414,0.3826299413201913,0.3975121988570315,0.5777907713297277,0.1626398257007817,0.06947605822039385,0.13789407006772889,0.1655912182151036
Medulla,0.37558312294153706,0.35055429147315814,0.345130858502426,0.4628255877983148,0.34820621512950783,0.40614447942316284,0.04525241820694241,0.07478519257342933,0.28163928975885466,0.16132115658344504,0.011381936435703227,0.08276449625450653,0.005361094660723748,0.0018337852860808943,0.07531506820850087,0.227856912799094,0.04799010898814533,0.4733659570489044,0.3500451952747561,0.43423308294112145,0.3788247150619747,0.6468378892248231,0.12897276854824466,0.09339317811094142,0.11719602281582146,0.17690053922638158
Olfactory areas,0.35540764645242257,0.7525435883644839,0.36999686253417596,0.6065281699610058,0.38202007978127384,0.5637577876383847,0.0366859396710143,0.15748957913137018,0.1760678589036798,0.10349155125274528,0.04646810990094572,0.011440545022634575,0.007137734749675048,0.0013222177401281878,0.022343238761149208,0.38144861279189635,0.14923132087311192,0.7053023172426157,0.6163103401909372,0.8204809286898839,0.7688920263547129,0.885549728833311,0.10996817713235624,0.11664649724351217,0.06319752588409305,0.16281206579714042
Cortical subplate,0.46402171696574224,0.6755709624796085,0.47345279363784665,0.787290986949429,0.4754792006525285,0.42773756117455136,0.09731851549755302,0.215321676182708,0.2856596655791191,0.09089518760195758,0.20757289967373574,0.07202028955954323,0.024227671288743882,0.001656810766721044,0.10030077487765089,0.3196880097879282,0.08946778140293637,0.5019881729200653,0.4548582789559543,0.7064513662316476,0.6056408034257749,0.8380913539967374,0.20111133768352366,0.2149648246329527,0.21264528955954323,0.22257340946166396
Pallidum,0.5026914618548542,0.6185117366140029,0.45587382794887604,0.7021080817468277,0.5143038545414393,0.5064549076621548,0.07617987246611518,0.1479153822795992,0.39497777818673685,0.16872935395713903,0.19639850198294026,0.11898561793203714,0.1474000938561057,0.0011133910579055365,0.16829687974456417,0.33059432998702576,0.07001481454217544,0.5677374237419142,0.48330373492091244,0.6513797767696937,0.7013167459536056,0.7970959816704547,0.10346255417429631,0.2118571546877444,0.09605528308657765,0.2118019452137987
